nohup: ignoring input
[ 1] local::disk.dev.write["sdb"]
[ 2] local::disk.dev.write_bytes["sdb"]
[ 3] local::disk.dev.read["sdb"]
[ 4] local::disk.dev.read_bytes["sdb"]
[ 5] local::filesys.used["/dev/sdb"]
[ 6] local::filesys.usedfiles["/dev/sdb"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,   sdb,   sdb,   sdb,   sdb,/dev/s,/dev/s
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-07-17 10:48:40,     ?,     ?,     ?,     ?, 0.74G,35.66K
2020-07-17 10:48:41, 4.00 ,49.15K, 0.00 , 0.00 , 0.74G,35.66K
2020-07-17 10:48:42, 2.00 ,24.54K, 0.00 , 0.00 , 0.74G,35.66K
2020-07-17 10:51:06,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:07,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:08,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:09,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:10,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:11,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:12,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:13,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:14,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:15,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:16,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:17,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:18,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:19,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:20,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:21,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:22,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:23,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:24,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:25,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:26,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:27,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:28,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:29,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:30,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:31,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:32,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:33,6.000000,71321.600000,0.000000,0.0,794568949.76,36546.56,40
2020-07-17 10:51:34,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:35,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:36,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:37,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:38,9.010000,83957.760000,0.000000,0.0,794568949.76,36546.56,4
2020-07-17 10:51:39,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:40,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:41,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:42,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:43,5.000000,20971.520000,0.000000,0.0,794568949.76,36546.56,4
2020-07-17 10:51:44,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:45,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:46,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:47,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:48,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
