nohup: ignoring input
[ 1] local::disk.dev.write["sdb"]
[ 2] local::disk.dev.write_bytes["sdb"]
[ 3] local::disk.dev.read["sdb"]
[ 4] local::disk.dev.read_bytes["sdb"]
[ 5] local::filesys.used["/dev/sdb"]
[ 6] local::filesys.usedfiles["/dev/sdb"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,   sdb,   sdb,   sdb,   sdb,/dev/s,/dev/s
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-07-17 10:50:43, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:44, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:45, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:46, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:47, 5.00 ,73.73K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:48, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:49, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:50, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:51, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:52, 5.00 ,24.58K, 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:53, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:54, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:55, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:56, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:57, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:58, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:50:59, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:00, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:01, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:02, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:03, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:04, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:05, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:06, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:07, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:08, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:09, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
2020-07-17 10:51:10, 0.00 , 0.00 , 0.00 , 0.00 , 0.74G,35.69K
